,X,y
3784,"I'm into bad movies but this has NOTHING going for it. Despite what the morons above have said, it is NOT funny. I know comedy AND underground movies but this is so boring that the Director / Writer should be prohibited from EVER directing anything but local cable access EVER again! To love movies and comedy is to despise this film. I may never get over how unfunny and boring this work was. If you like this movie you ARE a pothead as sober there is NOTHING here. ZERO! If you need to compare underground movies, see ""Kentucky Fried Movie"" or early John Waters. The movie starts by defining satire and I defy anyone to show me the satire. The rule for comedy is THIS ... If it's FUNNY you can say or do ANYTHING but if it's NOT funny you are not satirical, you are not edgy, you are merely pathetic and this movie is simply not funny. ZERO!",0
3980,"Jungle Fever is too highly stylized, stereotyped, and comes across as essentially dishonest. Wesley Snipes was wrong for the lead and there was no chemistry between him and Annabella Sciorra. Even though there's plenty of talent in this movie, it's mostly wasted because the parts are reduced to little more than decorative cameos. Also, instead of simply showing racism for the ugly and stupid thing it is, Spike Lee chooses to wave it around like a flag in a most whining and irritating manner. I made it through most of the film but I couldn't quite finish it, and that, for me, rarely happens.",0
892,"Let me first state that while I have viewed every episode of StarTrek at least twice, I do not consider myself a Trekker or Trekkie. Those are people who live in their parents basement and attend conventions wearing costumes with pointed rubber ears. I gave this movie a seven casting aside the fiction historical errors. The acting was better than average, but the plot held no surprises. They tried very hard to reverse engineer the technology but still the special effects were just to great a temptation. Now as to the historical errors, if you call them that, the first Capitan to pilot the Enterprise was Commander April, then Capt. Pike, Jim Kirk, etc.. According to a statement made by both Riker and Kirk we dicovered the Klingons and educated them and gave them the technology (that's the reason a prime directive was created) but like I said these are no reason to discredit this fine series. I hope the plots will get deeper, and then special effects can take a backseat.",1
603,"It's a tale that could have taken place anywhere really, given the right circumstances. Street entertainer catching the attention of famous opera star and friendship ensuing. The aging entertainer finds/buys a male child to pass his art to. From there, we follow them through the rigors of their challenging, but free life along the river. Traveling town to town, he performs and has some degree of notoriety. Despite the times and the influences, the man is kind and good.<br /><br />Overall, the performances are first rate, especially Xu Zhu, who portrays the street performer. The child (Renying Zhou) is beautiful, and downright strong, and withstands the overt prejudices well. The two protagonists, along with supporting help from the kind opera singer, Master Liang (an interestingly androgynous Zhao Zhigang), paint a very interesting tale of forgiveness, sadness and love. Some have mentioned this film's remote similarities to BA WANG BIE JI (FAREWELL MY CONCUBINE); yet this film can't stand easily on its own, any resemblance is remote at best.<br /><br />My only qualm with the KING OF MASKS, is the ending. It was weak, cliche and about as subtle as a sledgehammer. The audience was already wrapped up in the story, what was the needless manipulation for? What a shame. To bring a fine motion picture that far, only to surrender to emotional (and corny) pathos like that. It frankly made this film good, instead of the classic, it should've been. That aside, the KING OF MASKS is still very well worth your time. I was happy to see the Shaw Brothers are still producing good films. Highly recommended.",1
3525,"The movie has several story lines that follow several different characters. The different story lines don't feel like one whole complete piece which makes this comedy a very incoherent one and gets even annoying to watch at times.<br /><br />It may sound weak and cliché but it's true; You're way better of watching the Crocodile Hunter series on the Discovery channel with Steve and Terri Irwin. It's more fun and even more hilarious than this movie is. I'm sure both cast and crew had lots of fun making this movie but the movie doesn't give us the viewers much pleasure. For a comedy it simply isn't funny enough and Steve and Terri Irwin just aren't good actors, not even when they play themselves! Their antics are simply not good enough to make an entire movie around and their scene's feel long, distracting and unnecessary and even annoying at times.<br /><br />The movie had quite some potential, I mean Steve Irwin is one character that in a strange way is both intriguing and hilarious to watch, so when I first heard that they were making a movie about 'the crocodile hunter' my first reaction was; brilliant! The movie however heavily suffers from its weak story and the incoherent story lines with uninteresting and unfunny characters. The movie does has a certain entertainment value, at least enough to make this movie watchable for at least once but still, I must certainly wouldn't recommend this movie.<br /><br />Watching this movie felt like a waste of time. Still this movie might be watchable just once, when it gets on TV, on a rainy afternoon. It does has some good moments but the story lines really completely ruin the movie and its potential.<br /><br />4/10",0
3389,"Ah yes, the VS series, MVC2 being the pinnacle. It's been said before, this is what you get when half of the crew fell asleep on the job, unfortunately the gameplay half did. Don't get me wrong, this is fun, but you get tired of mashing buttons. As for the plot summary, AHAHAHAHAHAAAAA... There is no plot. Beat that guy at the end and win! Eh, who plays this by their self anyway?",0
655,"I had never heard of Leos Carax until his Merde segment in last years Tokyo, and his was easily the stand-out the film's three stories. It wasn't my favorite of the shorts, but it was the most unique, and the most iconic. ""The Lovers on the Bridge"" was the first of his full length features I've seen, a virtuoso romantic film that uses image and music to communicate an exuberant young love that overflows into the poetic. Though he's classified as a neo-nouvelle vogue, his films owe as much to silent cinema as the 60's experimental narratives. His movies are closer to Jean Vigo in ""L'atlante"", Jean Cocteau, and Guy Maddin, than Godard and Truffaut.<br /><br />In Boy Meets Girl Carax's 1984 debut he uses black and white and the heavy reliance on visual representation to display emotional states. He combines the exaggerated worlds of Maddin, but based in a reality that never seems quite stable like Cocteau, but by virtue of its expressions it becomes more accessible, emotional, and engaging like Vigo's movies.<br /><br />The story of Boy Meets Girl is simple, and similar to Carax's two following films which comprise this ""Young lovers"" trilogy. A boy named Alex played by Denis Lavant (who plays a character named Alex in Carax's next two movies), has just been dumped by his girlfriend who has fallen in love with his best friend. In the first scene he nearly kills his friend on a boardwalk but stops short of murder. He walks around reminded of her by sounds of his neighbors having sex, and daydreams of his girlfriend and best friend getting intimate. He steals records for her and leaves them at his friend's apartment, but avoids contacting either of them directly. He wanders around and finds his way to a party, where he meets a suicidal young woman, and the film becomes part ""Breathless"" and part ""Limelight"".<br /><br />Later he is advised by an old man with sign language to ""speak up for yourself...young people today It's like they forgot how to talk."" The old man gives an anecdote about working in the days of silent film, and how an actor timid off stage became a confident ""lion"" when in front of the camera. Heres where the movie tips its hand, but the overt reference to silent film is a crucial scene, since it overlaps the style of the film (silent and expressionist), with the content (a lovelorn young man trying to work up the courage to say and do the things he really wants to). Though Alex is pensive at first and a torrent of romantic words tumbling out of him by the end, he is the shy actor who becomes a lion thanks to the films magnification of his inward feelings which aren't easy to nail down from moment to moment, aside from a desire to fall in love.<br /><br />There is a scene in the film where Alex retreats from the party into a room where the guests have stashed their children and babies, all crying in a chorus that fills that room, until he turns on a tape of a children's show making them fall silent. Unexpectedly due a glitch the TV ends up playing a secret bathroom camera which reveals the hostess sobbing to herself into her wig about someone she misses. Even as Carax is self-reflexive and self deprecating of the very kind of angst ridden coming of age tale he is trying to tell (the room full of whining infants), he's mature enough to see through the initial irony to the lovelorn in everything the film crosses. Even the rich old, bell of the ball has a brother she misses. In another scene an ex astronaut stares at the moon he once walked on in his youth while sipping a cocktail in silence.<br /><br />Though indebted to films before talkies, Carax is a master of music, knowing when to pipe in the Dead Kennedy's ""Holiday in Cambodia"", or an early David Bowie song, the sounds of a man playing piano, or of a girl softly humming.<br /><br />In Boy Meets Girl, when someone gets their heart broken we see blood pour from their shirt, when a couple kiss on the sidewalk they spin 360 degrees as if attached to a carousel, when Alex enters a party an feels out of place, its because the most interesting people in the world really are in attendance; like the famous author who can't speak because of a bullet lodged in his brain, or the miss universe of 1950 standing just across from the astronaut. This film is the missing link between Jean Piere Jenuet, Michel Gondry, and Wes Anderson, whose stylistic flourishes and quirky tales of whimsy, all have a parallel with different visuals, musical, and emotional cues in these Carax movies.<br /><br />Every line of dialog, every piece of music and every effect and edit in this movie resonated with me on some emotional level, some I lack words to articulate. There are many tales of a boy meeting a girl, but rather than just explore the banal details of any particular event this movie captures the ecstatic truth of adolescent passion and disappointment. The other movies you want to watch can wait. See this first. If I were to make films, I would want them to be like this, in fact I wish all films were like this, where the ephemeral becomes larger than life, and life itself becomes a dream.",1
478,"Trudy Lintz (Rene Russo) was one very fortunate lady many years ago. She was the wife of a wealthy doctor and had lots of extracurricular money. Her passion was animals and she devoted herself to providing a sanctuary for the furry ones on her property grounds. Trudy also raised two chimps in her home to be more like children. They dressed in clothes and had many amenities. One day, she learns of an abandoned baby gorilla. Knowing nothing about the large apes, she relies on her husband's medical abilities and expert advice to save the gorilla's life. Once out of danger, Trudy decides she will raise the gorilla, also, as one of her children. This works well for years and Buddy, the gorilla, is truly a remarkably intelligent addition to her home. But, Buddy is also a gorilla and his strength and curiosity become quite enormous. Will Trudy be able to keep Buddy under control? For those who love animals, Buddy is a must-see movie. Based on a true story, Trudy and her ape develop a relationship that is unique in the annals of animal history and lore. Of course, Buddy is not a real gorilla but a mechanical one, in the film, but he is very close to seeming totally real. Russo gives a nice performance as a lady ahead of her time and the supporting players are also quite nice. The costumes are exemplary, as befitting the earlier era of the story, and the settings and production values outstanding. But, most importantly, animals are here in abundance, not only Buddy, but the adorable chimps, the ducks, the rabbits, and so forth. For those who want to watch a film and be transported to animal heaven, here on earth, this is a great movie choice. All animal lovers, and even those who just want to watch a great family film, will go ""ape"" over Buddy.",1
2331,"Follow-up to 1973's far better ""Cleopatra Jones"" has statuesque black actress Tamara Dobson returning to her signature role as chic, super-tough narcotics agent, here busting a heroin ring in Hong Kong. Cross-pollination of blaxploitation action-flick and kung-fu B-movie is fun at the outset but eventually flags. The shoot-out finale is right off the assembly-line, and Dobson herself seems less energetic than before (she's still sexy, and she puts a unique spin on her comically-stilted dialogue, but these surroundings may have been too much of one thing for her--she's jaded). Stella Stevens plays the villainess this time; she's good, but can't match Shelley Winters in the predecessor. ** from ****",0
749,"The United States was still fighting World War II (the movie was released in between VE day and VJ day). Any studio worth its salt was either making fighting movies where fearless American soldiers beat the enemy, or Americans in general were singing and dancing. Technicolor Musicals were what America thrived on in the depressing days when everything was rationed. Most musicals of the day were simply a bunch of musical numbers strung together with the best available plot slipped in to fill time til the next musical number! I get the feeling now that the people reviewing this movie were all born after 1970. Depressing how quickly we forget.<br /><br />This film could've been called ""The Search for Jose Iturbi"" but now everyone wonders why. Allow me to explain. From 1929--his arrival in America--until his death in 1980, Iturbi was one of the finest pianists to grace a concert stage. He agreed to do a few movies in 1942, but Hollywood had been after him for nearly a decade at that time. Not only an excellent pianist, but a successful conductor as well, Iturbi was very much a household word for more than 40 years. <br /><br />The scene where Iturbi and 17 other pianists play one of Liszt's Rhapsodies was planned early on--and hasn't anyone ever noticed the other pianists were all children? Joe Pasternak, who produced that movie & many other MGM musicals, credited Iturbi with interesting America's youth in classical music. Grayson's wanting an audition with Iturbi in the movie was not unlike real life at the time. Everyone wanted Iturbi back then. The joke among soldiers was that ""GI"" meant ""Get Iturbi"" (he did a lot of concerts at military bases).<br /><br />Gene Kelly was a great dancer and Frank Sinatra an excellent singer, but at the time this movie was made Sinatra was barely 30 and had only been under contract to Columbia Records for four years. Kelly was already well-known as a dancer, but Iturbi had by then been a world-wide sensation for 20+ years.<br /><br />And as to the lack of a plot, Americans didn't need plot. They were tired of war, they were sick with fear for their loved ones, and worried about the future. They needed happiness and hope and the assurance that things would work out fine in the end. They needed music and smiles and joy and romance. This movie and others like it delivered just what was needed.<br /><br />Enough lecturing. Mouse dancing aside, the best scene in the movie occurs between Sinatra and Iturbi with each of them ""ignorantly"" complimenting the other's music.<br /><br />If you have any interest in Jose Iturbi, the Spaniard who conquered more of America than De Soto, Cortez, and De Leon put together, please drop by my website, www.joseiturbi.com, where you can find a plot summary, excerpts from movie reviews ""of the day"" and pictures from this and certain other MGM musicals of the 1940's, as well as a biography and discography of Iturbi.<br /><br />Trout",1
3374,"This movie never made it to theaters in our area, so when it became available on DVD I was one of the first to rent it. For once, I should listened to the critics and passed on this one.<br /><br />Despite the excellent line up of actors the movie was very disappointing. I can see now why it went straight to video. <br /><br />I had thought that with Bloom, Ledger, and Rush it could have some value. All have done wonderful work in the past. <br /><br />The movie was slow moving and never pulled me in. I failed to develop much empathy for the characters and had to fight the urge to fast-forward just to get to the end. <br /><br />I do not recommend this film even if you are thinking of renting it for only for 'eye candy' purposes. It won't satisfy even that.",0
3465,"Wow. I don't even really remember that much about this movie, except that it stunk.<br /><br />The plot's basically; a girl's parents neglect her, so this sicko PokeMon pretends to be her dad. Am I the only one disturbed by that? Then, this weirdo PokeMon kidnaps Ash's mom to pretend to be the girl's. I don't care if he was trying to make the girl happy, that's just gross.<br /><br />There was no real plot. The girl was just a whiny brat who wanted things her own way. She played with Unowns, was the ""daughter"" of Entei and apparently could grow and shrink in age on a whim with the help of her ""dad"".<br /><br />That's pretty much all I can remember, but I think you can take it as a hint, and not see it. (Or if you do see it, don't expect much.) 1 out of 10.<br /><br />Seriously. If you want a PokeMon movie, rent ""PokeMon; the First Movie"".",0
2691,"It seems that Salvatores couldn't decide what to do with this movie: some of it is a very weak thriller (and I say very, very weak), some of it is an attempt to explore the relationships between the main characters. Both things have been tried in psychological thrillers, but in this case the movie cannot hold things together, due to poor, superficial scripting, bad acting and a too dark, too dull cinematography. I'd say that Salvatores gave his best in other genres and in other settings, where he was free to look at the characters without having to think about the plot. On the whole, a B-movie, hardly worth your money... Vote: 4/10",0
1618,"This is a classic action flick from the '80s featuring Arnold Schwarzenegger in one of his most memorable roles. Set in a futuristic police state where the government controls everything, including the television networks. One of their most popular TV shows is ""The Running Man"", where convicted felons are hunted down and killed for the entertainment of millions. It's set up like a game show, where the audience votes for their favorite ""stalkers"", trained killers who hunt down and kill the show's unlucky ""contestants"". Audience members also win prizes for correctly predicting who will be killed by whom. And the host is played by none other than Family Feud's Richard Dawson, who's game show experience makes him well suited for this role. When Ben Richards (Arnold) is falsely accused of mass murder, he is forced to play this sadistic game.<br /><br />This movie is chock full of classic Arnold one-liners, such as his famous ""I'll be back"" right before he enters the arena. And he taunts a stalker armed with a flamethrower with ""How about a light?"" I could go on and on, but I don't want to spoil the movie. It's funny stuff!<br /><br />Whether it was intended or not, this movie serves as a great parody of today's ""Reality TV"" craze. Already there are numerous programs that show people enduring pain and humiliation for the entertainment of viewers, and even court cases are televised for their ""entertainment value"". Running Man demonstrates what would happen if reality TV hit rock bottom, and it is a scary picture. One can only hope that the networks have the common sense not to let it go that far.<br /><br />Overall, this is a fun film & I highly recommend it. 9 out of 10!",1
1281,"Samuel Fuller's Pickup on South Street is anomalous: A ""Red Scare"" movie devoid of hysteria, in which the Communist threat is nothing more than the McGuffin that ignites the plot. Pickpocket Richard Widmark relieves loose woman Jean Peters of her wallet containing a strip of microfilm; unbeknownst to either of them, it harbors secrets vital to the Cold War. Peters, as it happens, was under surveillance by FBI agents who are as nonplussed by the theft as the man who's running her, cowardly comsymp Richard Kiley. In trying to retrieve the precious film, both sides enlist the help of Thelma Ritter, a streetwise old jane who's always on the earie and willing to sell what she hears.<br /><br />Fuller draws from an opulent palette of tempos and tonalities in telling the story, which becomes a race against the clock of escalating brutality. From the subways to the waterfront, his midsummer Manhattan takes on a sweaty sheen that's almost pungent. The love scenes between Peters and Widmark become an unstable mixture of the tumultuous and the tender, and they're scored to ""Again,"" a song introduced by Ida Lupino in Road House, also starring Widmark. The pace slackens for Ritter's beautifully written and played death scene -- among the most poignant vignettes in all noir, and a kind of mirage-oasis in a film parched of sentimentality. This is writer/director Fuller's only work in the strictest confines of the noir cycle; his later explorations of American pathology (The Crimson Kimono, The Naked Kiss, Underworld U.S.A.) never resulted in a synthesis as satisfying as Pickup on South Street.",1
1790,"In ""Anne of Green Gables"" (1934), Marilla Cuthbert (Helen Westley) and Matthew Cuthbert (O.P. Heggie), middle-aged siblings who live together at Green Gables, a farm in Avonlea, on Prince Edward Island, decide to adopt a boy from distant orphanage to help on their farm. But the orphan sent to them is a precocious girl of 14 named Anne Shirley (Dawn Evelyn Paris-a veteran of Disney's series of ""Alice"" shorts who later would adopt her character's name). <br /><br />Anne was only 11 in Lucy Maude Montgomery's source novel but the same actress could not credibly go from 11 to college age during the course of the story. The movie suffers somewhat from this concession, as many of Anne's reactions and much of what she says are more entertaining coming from an eleven-year-old that from a teenager. As in the book, Anne is bright and quick, eager to please but dissatisfied with her name, her build, her freckles, and her long red hair. Being a child of imagination, however, Anne takes much joy in life, and adapts quickly to her new family and the environment of Prince Edward Island.<br /><br />In fact Anne is the original ""Teenage Drama Queen"" and the film's screenwriter elected to focus on this aspect of her character. Which transformed the basic genre from mildly amusing family drama to comedy. A change that delighted audiences and that continues to frustrate reader purists. <br /><br />Since the comedy is very much in the spirit of the Montgomery's story I can see no reason to take issue with the changes, but let this serve as fair warning to anyone expecting a totally faithful adaptation. The comedy element is the strength of the film as it is one of the earliest self-reflexive parodies of Hollywood conventions. The actress Anne Shirley was one of Hollywood's all- time beauties and the film is in black and white. So much of the amusement is in seeing the title character's endless laments about her appearance and hair color contradicted by what is appearing on the screen. Anne regularly regales her no nonsense rural companions with melodramatic lines like: ""If you refuse it will be a lifelong sorrow to me"". Perhaps the funniest moment is when she corrects the spelling of her name on the classroom blackboard. <br /><br />Tom Brown does a nice job as Anne's love interest Gilbert Blythe and Sara Haden steals all the scenes in which she appears as the Cuthbert's pompous neighbor. <br /><br />Then again, what do I know? I'm only a child.",1
1857,"Radiofreccia is a movie about all of us, about our dreams, our friends, our obsessions, our addictions, our fears. It is a brilliant movie where a group of friends like all of us have lives through the hardships of growing up in a small town in one of the most significant decades in the last century. The movie doesn't take a happy or sad approach on things, it just tells us a story, one that all of us could have experienced. One of happiness and excitement, sadness and grief. The power of this story is in that we grow to love the characters, it is one of those movies you will watch over and over again, feeling closer to the little town in Emilia Romagna where it takes place. Hoping one day to be able to finally walk its streets next to Freccia and his friends, listening to the music that changed the world through the crackling sound of an old radio playing Radio Raptus International, playing their dreams, our dreams. Radiofreccia will make you laugh, it will make you cry at times, it will shock you and comfort you, it will give you and take from you. Personally I believe it to have played an important part in my life, and that of my friends, and I suggest you all watch it and let it become part of yours.",1
2678,"I hated this movie so much I remember it vividly. It is not even funny. Any movie that relies on unfunny sex jokes and racism humor does not deserve the money it costs to make it. In the first half hour, Rob Schneider drinks a carton of rancid milk. All I could think was ""he deserves it, for making such a bad movie"". Don't waste your time or money on this one.",0
1255,"Anyone find it interesting that the Ood look strangely similar to the 'Great Cthulhu' of H P Lovecraft vintage? hmmm? <br /><br />Great pair of episodes (not referring to Billie Piper as most seem to do!) in The impossible Planet and The Satan Pit.<br /><br />Also the link to 'Legion' I think also used in Who before and also referring to Satan in various novels post Exorcist era...<br /><br />Great suspense episodes utilising fear and faith elements. The new team for these 'who's are working great magic for TV.<br /><br />This certainly creates new fears and 'hide behind the sofa' feelings not seen for many, many years in this continuation of a superb BBC series (pity it is confirmed by the BBC that Billie Piper is quitting - perhaps not permanently - after end of series 2) :O(((",1
2884,"Roman Polanski has made many, many movies that are unexceptional. His fame bewilders me. Nothing stands out as a high point except Chinatown (I haven't seen 'Knife in the Water' or 'Tess'). Any contribution he's made to film concluded more than twenty years ago; his work is just embarrassing, safe and/or dull (The Pianist, Frantic, Oliver Twist, The Ninth Gate, Pirates).<br /><br />R's Baby must have signified the end of the establishment at the time it came out. It's lux-produced and fairly high concept for a 1968 'horror' movie (never show the baby). But this is just misconceived horror sap. Everything is arty to the point that the plot line becomes hopelessly clear very early (Um, thanks for that finale-destroying title), and on a clear day you can see the twist ending coming for days. It did not sustain my interest. I find that whatever this movie might have been, it is utterly derailed by the 1960's version of what femininity was. Farrow is such a chronic distracted, helpless waif/housewife. Her frailty is oversold... she's irritating in the extreme. There's no real ideas in it... nothing to consider except being the mother of the devil.<br /><br />The Dakota is barely exploited for it eerie potential.",0
1236,"First off, I'd like to make a correction on another review of this film which said that the last musical to win the Best Picture Academy Award was 'Gigi' in 1958. That is misinformation as 'West Side Story' won in 1962, 'My Fair Lady' won in 1965 and 'Sound of Music' won the year after that. That said, this film is absolutely fantastic! The story from the novel has been somewhat altered, but that's more because of the limitations that they had on a stage that they just didn't change back for a filmed version. However, I don't mind. In fact, I rather think the whole production flows better than the novel does. I like Nancy bringing Oliver to the bridge with her and being killed there instead of later in the apartment. The subtle things in this film are the ones that make me laugh. I love the moment Mr. Bumble and Mrs. Bumble start coming out at the beginning from the governors office. The underscore for that moment is brilliant. My three favorite actors for this film were Jack Wild, who plays the best Dodger in any film version of the story, Ron Moody, a playful and humorous Fagin (this character is worked out much better than he is in the book), and Shani Wallis, who is the strongest, most distressed version of Nancy. The only reason I'm giving this film a 9 instead of a 10 is because of the two big production numbers which are 'Concider Yourself' and 'Who Will Buy.' I always hate when the choreography in musicals in meant to look like people doing everyday chores and jobs. It looks awful and cheesy, especially when they're dancing at the London Meat Co. They should've just done regular choreography for these scenes. However, this film is a rare treasure that will stay with us, hopefully, forever.",1
1331,One of my favorite scenes is at the beginning when guests on a private yacht decide to take an impromptu swim - in their underwear! Rather risqué for 1931!,1
2944,"the acting itself wasn't even that bad, since it did't come to mind in the movie but whatever had this director in mind? the intended climb towards some climax completely missed the mark,..<br /><br />almost all scenes involve acting that stand so far from our own intentions and way of reacting on things that you don't really attach to any actor in the movie,..<br /><br />Empty silences,..In this case, see through cheap method of boasting your way into potential metaphorical brilliance,..which just wasn't here at all,..<br /><br />I guess I'm bitching but shit,..2 hours of my time,..",0
1074,"I must confess to not having read the original M R James story although I have read many of his other supernatural tales. I've also seen most of the previous BBC Christmas Ghost Stories and this one, in my opinion, surpasses most of them, only equalling The Signalman.<br /><br />I can't really fault A View From a Hill - the direction and 'mood' is perfect, as is the acting, lighting and, of course, the story and writing. I thoroughly enjoyed this and can only hope for more of this quality from the same director and production team. I understand that the BBC plan to make some more (not necessarily based on M R James stories) so that's promising.<br /><br />10/10",1
3622,"""The Return of Chandu"" is notable, if one can say that, for the casting of Bela Lugosi as the hero rather than the villain. Why he even gets the girl.<br /><br /> The story as such, involves the Black Magic Cult of Ubasti trying to capture the last Egyptian princess Nadji (the delectable Maria Alba) and use her as a sacrifice as a means of reviving their ancient leader who just happens to look like Nadji. Lugosi as Chandu, who possesses magical powers, tries to thwart the villains.<br /><br /> Director Ray Taylor does his best with limited resources and extensive stock footage. Fans of King Kong (1933) will recognize the giant doors that were used to keep Kong at bay in several scenes. The acting is for the most part, awful. The actor who plays the high priest (I believe Lucien Prival) for example, uses that acting coach inspired pronunciation that was so common in the early talkies. The less said about the others the better.<br /><br /> It is a mystery why Lugosi accepted parts in independent quickies at this stage of his career, because he was still a bankable star at Universal at this time. Maybe it was because in this case he got to play the hero and get the girl, who knows. As his career started to spiral downwards in the late 30s, this kind of fare would become the norm for Lugosi rather than the exception.<br /><br />",0
2405,"Having seen Versus previously I had high hopes for Alive. The description of the movie on the back of the DVD jacket sounded promising. Alive did not deliver. VERY slow development. Loads of potential with the cast and the cool visuals. The premise was intriguing but the payoff did not offset the build up. Could have done so much more at the end. Most of the movie is just "" sitting around "". To put it plainly, three of us were amped to sit down and watch this movie and by the 50 minute mark we were struggling to make it thru to the end. It really needed more shock elements. If you are looking for Ichi the Killer or Versus type fights then save yourself some $ and loads of disappointment.",0
3144,"If you like the standard Sly flicks that involve over the top action, unbelievable stunts (unbelievable is not intended to be complimentary here), and retarded dialogue; you will love this steaming pile of mountain goat dung. I had high hopes based on the trailer. I thought that Stalone was going to be forced in his ""has-been"" days to yield to smarter people and make an action film that would place a credible hero in a credible situation where the story, setting, and (believable) action would prevail. I crave action that is at least close enough to reality that you can imagine the fear and excitement that would come from such an event. My limited knowledge of hypothermia and its effects rendered at least one scene laughably ridiculous. Judge Dredd is only better because you know going into the theater that you are going to see a comic book made into a movie. The character, setting and everything else are beyond comparison to anything we might encounter ourselves. Cliffhanger on the other hand turns a mountain climbing guide into Rambo before you can say ""yo, Adrian!""",0
120,"""Going Berserk"" is actually one of the funniest Candy films I have ever seen, period. Sure, it's kinda low budget, but it's a non-stop comedic tour de force. There are tons of memorable quotes. For instance, when his soon-to-be father-in-law asks him how much he earns, Candy says ""Oh, I pull down anywhere between thirty and...eleven thousand dollars a year, sir."" Oh course, it is Candy's delivery that sells it. Just classic stuff. Eugene Levy also turns in a hilarious performance as a sleazy filmmaker. A clip of his horrible low budget movie ""Kung Fu U"" will have you rolling.<br /><br />So if you are a Candy fan and want to rediscover a forgotten gem, I can't recommend this movie enough.",1
2137,"A film about the Harlem Renaissance and one author in particular. It contrasts it with a modern day story about a young, gay, black artist.<br /><br />If that sounds vague it's because the movie itself is. It's well-directed, fairly well-written and (for the most part) well-acted. Also the scenes in the past are shot in moody black & white. Also this is one of the few film dealing with gay men that does NOT shy away from sex scenes (not that explicit and no frontal). Still, I mostly hated this.<br /><br />The film meanders all over the place, is full of unlikable characters (including the main protagonist) and (this is the killer) moves at a snails pace. Three times I considered leaving the theatre because I was so utterly bored. But the director WAS there so I stayed. <br /><br />His talk afterwords shows this was a labor of love and took 6 years to complete. I really wish I could like this more (there are VERY few films dealing honestly with gay blacks) but I can't. Unless you're very interested in the Harlem Renaissance there's no reason to see this.",0
818,"Who doesn't have unresolved issues with parents? And which parents don't have unresolved issues with each other?<br /><br />I know, that sounds heavy. But this is played for laughs in the movie, making both the comedy better and the drama better. I've always like Paul Reiser and Peter Falk, and although I was a bit concerned that their star qualities might be too big for a small movie, I was enchanted from the very first scene.<br /><br />Especially entertaining were the discoveries that the son makes about his father as a person. And Peter Falk's monologue about being a hard-working, sacrificing father and husband was the perfect balancing point. Without that scene being acted so well, the movie would have seemed far less nuanced, and the character far less interesting.<br /><br />Nicely done, Paul and Peter!",1
95,"Four macho rough'n'tumble guys and three sexy gals venture into a remote woodland area to hunt for a bear. The motley coed group runs afoul of crazed Vietnam veteran Jesse (an effectively creepy portrayal by Alberto Mejia Baron), who not surprisingly doesn't take kindly to any strangers trespassing on his terrain. Director/co-writer Pedro Galindo III relates the gripping story at a steady pace, creates a good deal of nerve-rattling tension, and delivers a fair amount of graphic gore with the brutal murder set pieces (a nasty throat slicing and a hand being blown off with a shotgun rate as the definite gruesome splatter highlights). The capable cast all give solid performances, with especially praiseworthy work by Pedro Fernandez as the nice, humane Nacho, Edith Gonzalez as the feisty Alejandra, Charly Valentino as the amiable Charly, and Tono Mauri as antagonistic jerk Mauricio. Better still, both yummy blonde Marisol Santacruz and lovely brunette Adriana Vega supply some tasty eye candy by wearing skimpy bathing suits. Antonio de Anda's slick, agile cinematography, the breathtaking sylvan scenery, Pedro Plascencia's robust, shuddery, stirring score, the well-developed characters, and the pleasingly tight'n'trim 76 minute running time further enhance the overall sound quality of this bang-up horror/action hybrid winner.",1
280,"Ernst Marischka, one of the most respected Austrian directors of that time, made films full of beautiful scenes, delicate love and with respect to all that is precious in life. <br /><br />Nowadays, if people should hear about him, they associate the name of Marischka with SISSI trilogy (1955,1956,1957). However, he made other excellent films like DAS DREIMADERLHAUS (1958), EMBEZZLED HEAVEN (1958) and definitely this one, MADCHENJAHRE EINER KONIGIN showing the young years of queen Victoria. Although it deals with a slightly different theme than SISSI films, I do not see many differences between this movie and SISSI. They are strikingly similar.<br /><br />The movie is almost identical. The style, the music, the photography. In fact, the crew are almost the same. Anton Profes, Bruno Mondi!<br /><br />The cast... Romy Schneider's one of the first main roles. It was a lovely introduction to her role of Sissi since this film was made one year before the first part of the trilogy about the Austrian empress. It is also a film where Romy plays with her mother, Magda Schneider. But Ernst Marischka was not the first director who cast Romy to play with her mum. Romy's debut, WENN DER WEISSE FLIEDER WIEDER BLUHN (1953) was her performance with her mother, too. Therefore, there were some voices that Romy began her Austrian career on the bases of her mother's fame. Indeed, there is some truth in it.<br /><br />Again, like in SISSI, this film shows love very gently. Victoria meets Prince Albert in a little inn in Dover. Their sympathy is based on pure exaltation in dance and gentle smiles. And now...? What would it be showed like? Only sex... But is it the only thing love is based on?<br /><br />I am grateful to Ernst Marischka for these movies. They had a soul and a message. Some people may call them kitschy, but I will never give up admiring these films. They are IMPRESSIVE!!! UNFORTUNATELY, HIGHLY UNDERRATED!",1
912,"Another Aussie masterpiece, this delves into the world of the unknown and the supernatural, and it does very well. It doesn't resort to the big special effects overkill like American flicks, it focuses more on emotional impact. A relatively simple plot that Rebecca Gibney & Co. bring to life. It follows the story of a couple who buy an old house that was supposedly home to a very old woman who never went outside, and whose husband disappeared in mysterious circumstances a century ago. Strange things begin to happen in the house, and John Adam begins to turn into the man who disappeared, who was actually a mass murderer. Highly recommended. 8/10",1
